Wind Speed (m/s),Wind Direction (degrees),Power Output (kW)
9.363502971184062,11.31450684722433,321.01582307714386
23.767857660247905,229.10774805496095,42.069982497524414
18.299848545285126,113.1681531874776,80.81435704730688
14.966462104925915,183.085448819293,449.2770942635396
3.900466011060913,326.72393061339346,303.21452982979497
3.8998630084050663,89.74520249359497,4.5985258083148235
1.4520903042049866,147.73785229282672,50.735771433016055
21.654403644373378,271.99840987549754,331.7508845540279
15.02787529358022,82.36733957698408,2.5307919231093434
17.70181444490114,27.712767538365476,80.40402570874933
0.5146123573950612,104.31052304895648,274.3668946832931
24.24774630404986,58.039663411441595,345.94759884634664
20.811066020010543,334.69115484332633,325.9806297513003
5.308477766956904,290.9233366431901,112.13465473027989
4.545624180177516,228.02535234375244,356.08961067376794
4.585112746335845,313.72581246757835,118.62454374840003
7.606056073988443,289.32194768368123,162.69984907963385
13.118910790805947,67.1652211989729,373.24570255901205
10.798625466052894,321.321239456392,324.81644952360733
7.280728504951048,194.16320708963426,424.611705247089
15.296322368059487,290.6784558590625,328.80644615017167
3.487346516301046,322.59286797245755,284.1543016677358
7.303616213380454,114.481250989871,46.837383914046235
9.159046082342293,39.618692829963635,183.85790152971677
11.401749605425898,82.056658515099,132.60118384086272
19.62939903482534,153.75880390545228,121.9948216895418
4.991844553958994,294.48531573209755,486.5052773762228
12.85586096034029,309.86300997228363,196.5488623333802
14.810364221551062,2.502766991228653,446.02327758855665
1.1612603179999432,183.86902892792367,315.56931299863146
15.18862129753596,150.26796113356045,397.4056517708242
4.263103092182289,79.95881176946288,251.31854655259605
1.626289824631988,43.15153224012581,288.45194231317953
23.72213843133333,121.54146170530606,246.25884690943195
24.140800826863984,339.4474934085069,97.62149389902225
20.209933702911528,116.35305552747188,361.2260576307527
7.6153442293342675,186.76462382761179,140.3861812204279
2.441802850159597,253.08682520226404,12.157983215726919
17.105825662803923,130.90665685654582,322.7361479535839
11.003812343490033,349.84154977954586,88.55533970352447
3.050955871119471,346.48102617916004,470.22929217645714
12.379422752781755,90.6416264971311,476.9642885012937
0.8597130278804599,179.00946212125876,457.43219511022426
22.73301005196955,108.31619153403707,185.0793501277222
6.469499540000423,102.54257797588834,7.728308264433714
16.56305710884955,13.279301047631806,464.1592812938627
7.792776902235274,219.44316023276286,214.09207415865717
13.00170052944527,180.96444836239013,483.3274095218348
13.667756983581992,18.532350449996166,481.80998854462644
4.621361388138176,100.31272712518012,426.50472773368006
24.239615694113965,326.97571894799535,147.22444603479283
19.378320584027865,86.24228064011007,192.54886430096263
23.487473539104727,52.16215395284031,425.5683357584285
22.37068376069122,176.20299369992267,158.46100257813885
14.947499470277128,354.83416347981625,84.74637334304624
23.046855875577922,87.13989774414014,278.4006312291751
2.2123125512979875,241.96879706611628,468.0773870803905
4.89957156047863,274.1830615183383,348.0148983374865
1.1306822227634516,85.54951583726388,285.0305850446825
8.133258269081608,262.15788550026946,48.588246885384265
9.71693224223705,132.40192777893117,307.5036133495849
6.783725794347398,227.6300990136886,495.0269250521316
20.718437728798232,228.0706958739221,70.04200761826202
8.918833167339733,192.87888626691304,259.16482618186836
7.023362742184519,32.50431721958699,438.68653596397775
13.567402078956212,300.7088984121257,370.3843088771022
3.523105624369066,115.4808233898249,348.507870497634
20.054924518850992,67.14666374394753,351.2420419935546
1.8637660919942705,14.67905095971501,179.7455756098776
24.67217341501293,212.72145954776704,146.7959221322467
19.306119232416435,243.92317026322166,404.6805777392568
4.96789203835431,5.971618414028215,405.05669733959036
0.13805292809005998,184.35350098774114,433.53615929005184
20.386535711370854,81.53847907125767,456.6202762782356
17.67143359619043,232.26220454740195,255.6711994304689
18.225179201024684,62.771914441796916,250.7581473435998
19.281758667148644,248.73758571688774,399.1475894833876
1.8511162933522591,139.22472466819346,324.9819653888826
8.961643213606814,337.22279594522445,350.9834386288517
2.896726488128243,49.507539892557574,397.8963347180505
21.577585646889837,122.78388637809306,445.00267090878316
15.582453170688948,40.85046764661207,168.9975784257679
8.27245062131623,332.8897025802826,187.79147631997202
1.588958757150591,315.8421672171532,46.9909699204345
7.774558042891555,92.85898597745602,289.14007049808697
8.129583050668677,237.59425657230446,17.971136898371043
18.240154458451602,294.1999920724377,232.79900906623007
15.938936783880328,199.87229217580645,271.3223173537883
22.180318564408164,190.67420820816233,143.2706260641422
11.805373129048732,87.0668247241626,295.4166302845054
2.9898561484575428,33.51699641012372,15.250124969524714
17.831119680574876,322.99767286319764,18.674094374607208
19.019626215422434,324.150500578799,411.30028032982915
14.031929939237406,227.91652461837646,180.09532070563145
19.274179498864026,122.05072477753224,63.53025632594239
12.344889909109769,125.71544686055792,261.1216300274022
13.068320734549852,261.3440443932862,384.9967765493054
10.68852545896374,322.95969358292774,107.9105137484216
0.6354781686023797,319.35111273544226,311.4452379095001
2.697285674832611,280.7551965087446,42.673732496884
